idx,name_ko,recommendation
13,인드리야,"[{'id': 77, 'title': '로마'}, {'id': 63, 'title': '마이애미'}, {'id': 9, 'title': '포레스트 아몬드 플레이버'}, {'id': 134, 'title': '솔레리오'}, {'id': 87, 'title': '바닐라 에클레어'}, {'id': 124, 'title': '오다시오'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 38, 'title': '초콜라티노'}, {'id': 23, 'title': '디카페인 비발토 롱고'}]"
14,인피니트 에스프레소,"[{'id': 113, 'title': '헤이즐리노 머핀'}, {'id': 36, 'title': '카라멜로'}, {'id': 78, 'title': '스쿠로'}, {'id': 152, 'title': '디카페나토 온투오소'}, {'id': 150, 'title': '인텐소 (알토)'}, {'id': 17, 'title': '리니시오 롱고'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 63, 'title': '마이애미'}, {'id': 43, 'title': '코지'}, {'id': 86, 'title': '바닐라'}]"
15,인피니트 후루티 라즈베리,"[{'id': 95, 'title': '알토 오니체'}, {'id': 51, 'title': '하와이 코나'}, {'id': 52, 'title': '온두로스'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 71, 'title': '파리 에스프레소'}, {'id': 120, 'title': '멜로지오 부스트'}, {'id': 62, 'title': '리반토'}, {'id': 54, 'title': '인디아'}, {'id': 2, 'title': '부케엘라 카 에티오피아'}]"
16,인피니트 고메 헤이즐넛,"[{'id': 143, 'title': '비안코 레게로'}, {'id': 28, 'title': '브라질 오가닉'}, {'id': 26, 'title': '아르페지오'}, {'id': 37, 'title': '키아로'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 42, 'title': '코르토'}, {'id': 20, 'title': '토르타 디 노초올레'}, {'id': 124, 'title': '오다시오'}, {'id': 135, 'title': '스위트 바닐라'}, {'id': 6, 'title': '다르칸'}]"
17,리니시오 롱고,"[{'id': 107, 'title': '포르타도'}, {'id': 67, 'title': '나폴리'}, {'id': 26, 'title': '아르페지오'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 14, 'title': '인피니트 에스프레소'}, {'id': 110, 'title': '골든 캐러멜'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 116, 'title': '이니지오'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}]"
18,파리 블랙,"[{'id': 38, 'title': '초콜라티노'}, {'id': 117, 'title': '인텐소 (커피)'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 92, 'title': '알티시오'}, {'id': 96, 'title': '아론디오'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 132, 'title': '스토미오'}]"
19,로사바야 데 콜롬비아,"[{'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 78, 'title': '스쿠로'}, {'id': 105, 'title': '더블 에스프레소 돌체'}, {'id': 82, 'title': '도쿄 비발또 롱고'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 39, 'title': '코코아 트러플'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 96, 'title': '아론디오'}]"
20,토르타 디 노초올레,"[{'id': 24, 'title': '에이지드 수마트라'}, {'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 55, 'title': '인도네시아'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}, {'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 92, 'title': '알티시오'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 135, 'title': '스위트 바닐라'}]"
21,바닐리오,"[{'id': 94, 'title': '알토 암브라토'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 41, 'title': '콜롬비아'}, {'id': 67, 'title': '나폴리'}, {'id': 144, 'title': '디카페나토'}, {'id': 96, 'title': '아론디오'}, {'id': 20, 'title': '토르타 디 노초올레'}, {'id': 141, 'title': '위스키 에센스'}, {'id': 23, 'title': '디카페인 비발토 롱고'}, {'id': 63, 'title': '마이애미'}]"
22,비발토 롱고,"[{'id': 97, 'title': '비앙코 도피오'}, {'id': 114, 'title': '아이스 포르테'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 39, 'title': '코코아 트러플'}, {'id': 131, 'title': '로스트 헤이즐넛'}, {'id': 122, 'title': '멕시코'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 30, 'title': '까페시또 데 쿠바'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}]"
