idx,age_range,recommendation
1,20~29,"[{'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 134, 'title': '솔레리오'}, {'id': 140, 'title': '볼테소'}, {'id': 75, 'title': '리스트레또'}, {'id': 34, 'title': '카프리치오'}, {'id': 136, 'title': '토칸토'}, {'id': 104, 'title': '더블 에스프레소 챠로'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}]"
2,30~39,"[{'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}, {'id': 115, 'title': '아이스 레제로'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 63, 'title': '마이애미'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 18, 'title': '파리 블랙'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 46, 'title': '필터 스타일 인텐스'}, {'id': 138, 'title': '바닐라 커스터드 파이'}]"
3,40~49,"[{'id': 17, 'title': '리니시오 롱고'}, {'id': 97, 'title': '비앙코 도피오'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 20, 'title': '토르타 디 노초올레'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 78, 'title': '스쿠로'}, {'id': 134, 'title': '솔레리오'}, {'id': 102, 'title': '코스타리카'}, {'id': 47, 'title': '필터 스타일 밀드'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}]"
4,50~59,"[{'id': 24, 'title': '에이지드 수마트라'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 6, 'title': '다르칸'}, {'id': 121, 'title': '디카페인 멜로지오'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 58, 'title': '카하와야 콩고'}, {'id': 130, 'title': '리치 초콜렛'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 147, 'title': '포레스트 푸르트'}, {'id': 70, 'title': '파푸아뉴기니'}]"
5,00~00,"[{'id': 122, 'title': '멕시코'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 24, 'title': '에이지드 수마트라'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 34, 'title': '카프리치오'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 134, 'title': '솔레리오'}, {'id': 138, 'title': '바닐라 커스터드 파이'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}]"
