idx,name_ko,recommendation
25,아마하 아웨 우간다,"[{'id': 27, 'title': '디카페인 아르페지오'}, {'id': 26, 'title': '아르페지오'}, {'id': 124, 'title': '오다시오'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 10, 'title': '포레스트 블랙'}]"
26,아르페지오,"[{'id': 27, 'title': '디카페인 아르페지오'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 57, 'title': '재마이카 블루 마운틴'}]"
27,디카페인 아르페지오,"[{'id': 26, 'title': '아르페지오'}, {'id': 25, 'title': '아마하 아웨 우간다'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 57, 'title': '재마이카 블루 마운틴'}]"
28,브라질 오가닉,"[{'id': 89, 'title': '비엔나 리니지오 롱고'}, {'id': 104, 'title': '더블 에스프레소 챠로'}, {'id': 93, 'title': '디카페인 알티시오'}, {'id': 92, 'title': '알티시오'}, {'id': 106, 'title': '더블 에스프레소 스쿠로'}]"
29,부에노스 아이레스 롱고,"[{'id': 2, 'title': '부케엘라 카 에티오피아'}, {'id': 79, 'title': '상하이 롱고'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}, {'id': 116, 'title': '이니지오'}, {'id': 86, 'title': '바닐라'}]"
30,까페시또 데 쿠바,"[{'id': 93, 'title': '디카페인 알티시오'}, {'id': 92, 'title': '알티시오'}, {'id': 33, 'title': '케이프타운 엔비보 롱고'}, {'id': 103, 'title': '디아볼리토'}, {'id': 104, 'title': '더블 에스프레소 챠로'}]"
31,까페시또 데 푸에르토리코,"[{'id': 3, 'title': '카페 이스탄불'}, {'id': 65, 'title': '밀레니오'}, {'id': 76, 'title': '디카페인 리스트레또'}, {'id': 13, 'title': '인드리야'}, {'id': 75, 'title': '리스트레또'}]"
32,까페지뇨 두 브라질,"[{'id': 69, 'title': '노베첸토'}, {'id': 63, 'title': '마이애미'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 133, 'title': '스토미오 부스트'}]"
33,케이프타운 엔비보 롱고,"[{'id': 103, 'title': '디아볼리토'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 69, 'title': '노베첸토'}, {'id': 32, 'title': '까페지뇨 두 브라질'}]"
34,카프리치오,"[{'id': 15, 'title': '인피니트 후루티 라즈베리'}, {'id': 16, 'title': '인피니트 고메 헤이즐넛'}, {'id': 77, 'title': '로마'}, {'id': 126, 'title': '페퍼민트 핀휠 리미티드 에디션'}, {'id': 115, 'title': '아이스 레제로'}]"
35,카라멜 크레임 브륄레,"[{'id': 110, 'title': '골든 캐러멜'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 111, 'title': '하프-카페이나토'}]"
36,카라멜로,"[{'id': 136, 'title': '토칸토'}, {'id': 68, 'title': '노치올라'}, {'id': 38, 'title': '초콜라티노'}, {'id': 86, 'title': '바닐라'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}]"
37,키아로,"[{'id': 97, 'title': '비앙코 도피오'}, {'id': 143, 'title': '비안코 레게로'}, {'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 51, 'title': '하와이 코나'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}]"
38,초콜라티노,"[{'id': 136, 'title': '토칸토'}, {'id': 68, 'title': '노치올라'}, {'id': 36, 'title': '카라멜로'}, {'id': 86, 'title': '바닐라'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}]"
39,코코아 트러플,"[{'id': 110, 'title': '골든 캐러멜'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}, {'id': 109, 'title': '징거브레드 리미티드 에디션'}, {'id': 100, 'title': '카라멜 쿠키'}, {'id': 111, 'title': '하프-카페이나토'}]"
40,코코넛 플레이버 오버 아이스,"[{'id': 1, 'title': '아마레티'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 20, 'title': '토르타 디 노초올레'}]"
41,콜롬비아,"[{'id': 72, 'title': '페루 오가닉'}, {'id': 19, 'title': '로사바야 데 콜롬비아'}, {'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 21, 'title': '바닐리오'}]"
42,코르토,"[{'id': 98, 'title': '비앙코 포르테'}, {'id': 96, 'title': '아론디오'}, {'id': 152, 'title': '디카페나토 온투오소'}, {'id': 148, 'title': '지오르니오'}, {'id': 146, 'title': '엘바조'}]"
43,코지,"[{'id': 90, 'title': '볼루토'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 38, 'title': '초콜라티노'}, {'id': 36, 'title': '카라멜로'}, {'id': 136, 'title': '토칸토'}]"
44,에스페란사 데 콜롬비아,"[{'id': 1, 'title': '아마레티'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 20, 'title': '토르타 디 노초올레'}]"
45,에티오피아,"[{'id': 19, 'title': '로사바야 데 콜롬비아'}, {'id': 90, 'title': '볼루토'}, {'id': 91, 'title': '디카페인 볼루토'}, {'id': 43, 'title': '코지'}, {'id': 81, 'title': '타무카 무 짐바브웨'}]"
46,필터 스타일 인텐스,"[{'id': 128, 'title': '푸어오버 스타일 밀드'}, {'id': 130, 'title': '리치 초콜렛'}, {'id': 47, 'title': '필터 스타일 밀드'}, {'id': 139, 'title': '비비다 B12'}, {'id': 82, 'title': '도쿄 비발또 롱고'}]"
47,필터 스타일 밀드,"[{'id': 130, 'title': '리치 초콜렛'}, {'id': 17, 'title': '리니시오 롱고'}, {'id': 110, 'title': '골든 캐러멜'}, {'id': 87, 'title': '바닐라 에클레어'}, {'id': 129, 'title': '펌킨 스파이스 케이크 리미티드 에디션'}]"
48,프레도 델리카토,"[{'id': 1, 'title': '아마레티'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 20, 'title': '토르타 디 노초올레'}, {'id': 61, 'title': '림인하 오버 아이스'}]"
49,프레도 인텐소,"[{'id': 1, 'title': '아마레티'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 20, 'title': '토르타 디 노초올레'}, {'id': 61, 'title': '림인하 오버 아이스'}]"
50,갈라파고스 스페셜 리저브,"[{'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 64, 'title': '밀라노 인텐소'}]"
51,하와이 코나,"[{'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}]"
52,온두로스,"[{'id': 26, 'title': '아르페지오'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 57, 'title': '재마이카 블루 마운틴'}]"
53,일 카페,"[{'id': 54, 'title': '인디아'}, {'id': 6, 'title': '다르칸'}, {'id': 18, 'title': '파리 블랙'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}]"
54,인디아,"[{'id': 6, 'title': '다르칸'}, {'id': 53, 'title': '일 카페'}, {'id': 18, 'title': '파리 블랙'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}]"
55,인도네시아,"[{'id': 26, 'title': '아르페지오'}, {'id': 27, 'title': '디카페인 아르페지오'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}]"
56,이스탄불 에스프레소,"[{'id': 77, 'title': '로마'}, {'id': 151, 'title': '디카페나토 인텐소'}, {'id': 150, 'title': '인텐소 (알토)'}, {'id': 41, 'title': '콜롬비아'}, {'id': 65, 'title': '밀레니오'}]"
57,재마이카 블루 마운틴,"[{'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 64, 'title': '밀라노 인텐소'}]"
58,카하와야 콩고,"[{'id': 11, 'title': '포레스트 프룻'}, {'id': 144, 'title': '디카페나토'}, {'id': 62, 'title': '리반토'}, {'id': 21, 'title': '바닐리오'}, {'id': 5, 'title': '초콜라티노'}]"
59,카자아르,"[{'id': 67, 'title': '나폴리'}, {'id': 133, 'title': '스토미오 부스트'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 107, 'title': '포르타도'}, {'id': 132, 'title': '스토미오'}]"
60,라 쿰플리다 레피나다,"[{'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 51, 'title': '하와이 코나'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}]"
61,림인하 오버 아이스,"[{'id': 1, 'title': '아마레티'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 20, 'title': '토르타 디 노초올레'}]"
62,리반토,"[{'id': 4, 'title': '카라멜리또'}, {'id': 5, 'title': '초콜라티노'}, {'id': 144, 'title': '디카페나토'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 21, 'title': '바닐리오'}]"
63,마이애미,"[{'id': 69, 'title': '노베첸토'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 133, 'title': '스토미오 부스트'}]"
64,밀라노 인텐소,"[{'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 12, 'title': '포르티시오 롱고'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}]"
65,밀레니오,"[{'id': 151, 'title': '디카페나토 인텐소'}, {'id': 150, 'title': '인텐소 (알토)'}, {'id': 3, 'title': '카페 이스탄불'}, {'id': 31, 'title': '까페시또 데 푸에르토리코'}, {'id': 75, 'title': '리스트레또'}]"
66,니카라과,"[{'id': 105, 'title': '더블 에스프레소 돌체'}, {'id': 141, 'title': '위스키 에센스'}, {'id': 140, 'title': '볼테소'}, {'id': 22, 'title': '비발토 롱고'}, {'id': 7, 'title': '브라질 둘세오'}]"
67,나폴리,"[{'id': 59, 'title': '카자아르'}, {'id': 133, 'title': '스토미오 부스트'}, {'id': 108, 'title': '디카페인 포르타도'}, {'id': 107, 'title': '포르타도'}, {'id': 132, 'title': '스토미오'}]"
68,노치올라,"[{'id': 136, 'title': '토칸토'}, {'id': 38, 'title': '초콜라티노'}, {'id': 36, 'title': '카라멜로'}, {'id': 86, 'title': '바닐라'}, {'id': 85, 'title': '우무티마와 호수 키부 르완다'}]"
69,노베첸토,"[{'id': 63, 'title': '마이애미'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 74, 'title': '리오데자네이루 에스프레소'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 133, 'title': '스토미오 부스트'}]"
70,파푸아뉴기니,"[{'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 51, 'title': '하와이 코나'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}, {'id': 73, 'title': '펌킨 스파이스 케이크'}]"
71,파리 에스프레소,"[{'id': 118, 'title': '자마이카 블루 마운틴 리미티드 에디션'}, {'id': 50, 'title': '갈라파고스 스페셜 리저브'}, {'id': 10, 'title': '포레스트 블랙'}, {'id': 57, 'title': '재마이카 블루 마운틴'}, {'id': 124, 'title': '오다시오'}]"
72,페루 오가닉,"[{'id': 41, 'title': '콜롬비아'}, {'id': 19, 'title': '로사바야 데 콜롬비아'}, {'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 11, 'title': '포레스트 프룻'}, {'id': 21, 'title': '바닐리오'}]"
73,펌킨 스파이스 케이크,"[{'id': 123, 'title': '니카라과 라 쿰플리다'}, {'id': 70, 'title': '파푸아뉴기니'}, {'id': 51, 'title': '하와이 코나'}, {'id': 99, 'title': '비앙코 피콜로'}, {'id': 60, 'title': '라 쿰플리다 레피나다'}]"
74,리오데자네이루 에스프레소,"[{'id': 69, 'title': '노베첸토'}, {'id': 63, 'title': '마이애미'}, {'id': 8, 'title': '엔비보 롱고'}, {'id': 32, 'title': '까페지뇨 두 브라질'}, {'id': 133, 'title': '스토미오 부스트'}]"
75,리스트레또,"[{'id': 76, 'title': '디카페인 리스트레또'}, {'id': 13, 'title': '인드리야'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 12, 'title': '포르티시오 롱고'}]"
76,디카페인 리스트레또,"[{'id': 75, 'title': '리스트레또'}, {'id': 13, 'title': '인드리야'}, {'id': 80, 'title': '스톡홀름 포티시오 롱고'}, {'id': 64, 'title': '밀라노 인텐소'}, {'id': 12, 'title': '포르티시오 롱고'}]"
77,로마,"[{'id': 56, 'title': '이스탄불 에스프레소'}, {'id': 151, 'title': '디카페나토 인텐소'}, {'id': 150, 'title': '인텐소 (알토)'}, {'id': 21, 'title': '바닐리오'}, {'id': 62, 'title': '리반토'}]"
78,스쿠로,"[{'id': 1, 'title': '아마레티'}, {'id': 137, 'title': '트로피컬 코코넛 오버 아이스'}, {'id': 48, 'title': '프레도 델리카토'}, {'id': 49, 'title': '프레도 인텐소'}, {'id': 20, 'title': '토르타 디 노초올레'}]"
79,상하이 롱고,"[{'id': 141, 'title': '위스키 에센스'}, {'id': 105, 'title': '더블 에스프레소 돌체'}, {'id': 66, 'title': '니카라과'}, {'id': 112, 'title': '하와이 코나 리미티드 에디션'}, {'id': 37, 'title': '키아로'}]"
